CODUFMUN;REC;TENT_y
410030;0;1
410040;13;28
410080;0;1
410105;8;28
410115;3;7
410120;12;36
410130;1;3
410150;122;210
410160;222;396
410170;2;4
410180;3396;7680
410210;81;261
410220;0;2
410230;6;11
410240;6;8
410290;4;9
410320;4;6
410322;15;42
410335;2;3
410345;80;140
410360;12;22
410370;1968;3744
410400;924;1728
410420;9;21
410425;12;45
410450;0;4
410460;9;48
410480;14232;25872
410490;1416;3600
410530;49;112
410540;1116;2328
410550;1456;3056
410560;1;4
410570;20;85
410580;56;256
410590;280;890
410600;0;4
410630;48;112
410645;100;230
410650;98;784
410685;1;1
410690;45636;90540
410730;2;8
410765;700;1589
410780;0;1
410790;20;32
410810;4;24
410830;414;1008
410855;1;1
410865;2;12
410880;8;20
410895;2;4
410940;1212;7236
410965;50;85
410980;370;990
411000;6;12
411010;42;315
411020;1;4
411030;1;2
411050;33;66
411070;6;14
411120;891;1551
411130;0;1
411140;192;528
411150;52;156
411160;0;2
411180;1;2
411200;550;1410
411250;0;3
411300;1;9
411360;1;4
411370;1872;3132
411375;2;2
411390;3;24
411410;14;24
411420;200;680
411440;48;222
411460;17;38
411480;1080;2340
411490;1;3
411520;13884;29904
411540;2;7
411560;12;33
411570;176;1592
411580;864;1800
411605;76;216
411620;0;1
411630;2;6
411670;11;45
411690;180;324
411700;0;2
411705;12;72
411725;2;2
411730;6;10
411750;220;671
411760;225;594
411770;384;808
411790;66;222
411810;2;8
411820;20;230
411840;4;8
411850;2304;5652
411870;4;14
411880;4;10
411910;1;3
411915;374;836
411930;8;32
411940;7;11
411950;10;22
411990;6912;16044
412040;1;4
412060;15;90
412080;6;9
412090;136;408
412150;11;17
412160;2;15
412170;1;2
412200;72;304
412230;1;2
412240;10;10
412300;0;7
412340;25;60
412350;21;36
412380;12;36
412382;12;24
412402;60;170
412405;144;306
412410;2;3
412480;286;803
412500;24;54
412510;35;100
412550;3960;9072
412560;84;172
412570;781;1562
412625;2604;6288
412627;12;51
412630;64;132
412650;126;217
412665;2;12
412680;2;8
412710;1270;2380
412720;90;348
412740;14;22
412750;20;40
412770;2436;5340
412790;2;9
412830;1;1
412855;42;78
