Município;Assist_Soc;Psic;Psiqui;Acoes_prom;Acoes_comp;2017;2018;2019;2020;2021;Ar_Ter_km2;Pop_Est;PIB;IDH
412240 Rolândia;7.0;18.0;3.0;129582;0;693;0;0;0;0;5551250;96640;2777797;7.13
412535 São Jorge do Patrocínio;1.0;2.0;0.0;36269;23656;8239;68;3531;16154;23656;1824190;36010;2046585;7.13
411680 Nova Cantu;2.0;2.0;0.0;389;0;0;0;0;0;0;2084720;50140;2129028;7.14
412060 Prudentópolis;7.0;9.0;0.0;108986;0;476;0;0;0;0;1126890;75040;2398475;7.14
412720 Terra Boa;2.0;6.0;0.0;83830;15496;40490;47390;47016;17775;15496;8008070;175620;3886678;7.14
410752 Esperança Nova;1.0;2.0;0.0;69;4691;8311;21;0;0;4691;2892320;29950;5024877;7.15
411170 Jaboti;2.0;1.0;0.0;1574;0;8;6;0;0;0;4750040;138610;5790985;7.15
412090 Quedas do Iguaçu;3.0;6.0;0.0;48953;0;525;377;0;0;0;3261770;44440;3737212;7.15
412580 São Pedro do Ivaí;2.0;3.0;0.0;10549;0;0;0;0;0;0;2279820;88650;2213584;7.15
410275 Bela Vista da Caroba;1.0;4.0;1.0;13757;0;0;0;0;0;0;2426890;154000;2949552;7.16
410450 Capanema;2.0;4.0;0.0;40255;0;0;122;3;0;0;2757480;158870;7416076;7.16
410760 Faxinal;1.0;5.0;0.0;41892;0;0;0;0;0;0;2340990;47340;3128116;7.16
411435 Manfrinópolis;1.0;1.0;0.0;6780;0;4;1;0;0;0;5711350;135170;2810994;7.16
411725 Nova Prata do Iguaçu;1.0;2.0;0.0;55267;0;98;51;0;0;0;3525650;105400;3107585;7.16
411740 Ourizona;0.0;2.0;0.0;20922;0;0;0;0;0;0;1713790;422510;2050839;7.16
412170 Reserva;2.0;1.0;0.0;67400;0;182;117;0;0;0;6292240;106220;4386402;7.16
412410 Santo Antônio da Platina;6.0;19.0;1.0;57522;0;211;0;0;0;0;1659040;20320;4083544;7.16
410322 Bom Sucesso do Sul;0.0;2.0;1.0;36633;0;0;0;0;0;0;3343780;62900;3138944;7.17
410680 Cruz Machado;4.0;5.0;0.0;13579;0;0;0;0;0;0;7759840;209620;3963152;7.17
410940 Guarapuava;28.0;96.0;3.0;2335;59013;1971;1687;0;0;59013;132667;379740;2178976;7.17
411630 Munhoz de Melo;1.0;2.0;0.0;13004;0;0;0;0;0;0;1312720;15600;2747714;7.17
411790 Palotina;5.0;14.0;0.0;25514;0;261;0;0;0;0;3486310;116850;2820955;7.17
411845 Pato Bragado;0.0;3.0;0.0;7284;0;36;14;0;0;0;4214090;59420;4872745;7.17
412340 Santa Fé;2.0;6.0;0.0;14017;0;0;36;0;0;0;1569350;15680;2528719;7.17
412570 São Miguel do Iguaçu;3.0;7.0;0.0;46888;0;157;119;0;0;0;3226920;111090;2707968;7.17
410395 Campina do Simão;1.0;1.0;0.0;3700;0;21;27;0;0;0;5392450;440720;3651802;7.18
410550 Cianorte;10.0;49.0;4.0;9526;79422;84172;97951;140945;73136;79422;4030450;129390;3316357;7.18
411155 Ivaté;1.0;3.0;0.0;11005;0;61;21;0;0;0;1392770;53320;2062886;7.18
411290 Jundiaí do Sul;1.0;1.0;0.0;10013;0;0;0;0;0;0;2108690;70690;3214838;7.18
411390 Mallet;2.0;7.0;0.0;0;0;0;0;0;0;0;2940190;233730;2476197;7.18
411750 Paiçandu;4.0;8.0;1.0;33240;0;0;0;0;0;0;1470072;341090;4239025;7.18
412280 Salgado Filho;1.0;2.0;0.0;5736;0;2247;2500;250;0;0;3127170;149570;2529201;7.18
412405 Santa Terezinha de Itaipu;1.0;7.0;0.0;154997;0;79;68;0;0;0;7214720;465030;264640;7.18
410895 Guamiranga;2.0;5.0;0.0;2792;0;0;0;0;0;0;20115;22390;2495839;7.19
411380 Lupionópolis;1.0;5.0;0.0;97;0;4;2;0;0;0;7880610;129000;410626;7.19
412550 São José dos Pinhais;19.0;78.0;9.0;341631;0;2812;1932;0;0;0;1341714;471370;2741827;7.19
412862 Alto Paraíso;1.0;2.0;0.0;3755;0;0;0;0;0;0;66156;222930;1724808;7.21
410110 Andirá;3.0;8.0;1.0;836;0;49;29;0;0;0;1060210;29310;3893719;7.21
410350 Califórnia;3.0;4.0;0.0;2351;0;0;0;0;0;0;3661530;255690;2858657;7.21
411295 Juranda;1.0;3.0;0.0;33821;0;100;55;0;0;0;1932990;39960;2725996;7.21
411540 Marmeleiro;4.0;4.0;1.0;25898;0;117;90;0;0;0;20847;46760;1621885;7.21
412820 União da Vitória;9.0;35.0;0.0;32075;0;503;395;0;0;0;23781;112330;2500427;7.21
410347 Cafezal do Sul;0.0;1.0;0.0;490;0;38;28;0;0;0;1418170;86410;2086461;7.22
411530 Mariópolis;1.0;4.0;1.0;15954;0;41;19;0;0;0;3876120;144070;3157228;7.22
411670 Nova Aurora;3.0;1.0;0.0;35693;0;92;79;0;0;0;4015870;280620;2615504;7.22
412130 Rancho Alegre;0.0;1.0;0.0;7870;0;0;0;0;0;0;3534160;169760;3567476;7.22
412500 São João do Ivaí;3.0;1.0;0.0;1388;0;232;99;0;0;0;3795450;90050;311069;7.22
412870 Vitorino;1.0;3.0;0.0;993;0;0;0;0;0;0;2431730;40510;3173081;7.22
410150 Arapongas;12.0;31.0;5.0;324038;0;117;0;5;0;0;1358176;284800;4105691;7.23
410645 Coronel Domingos Soares;1.0;2.0;0.0;6477;0;36;11;0;0;0;6844170;204300;328476;7.23
410700 Curiúva;1.0;3.0;0.0;24552;0;21;0;0;0;0;2428870;49750;6795636;7.23
410800 Florestópolis;2.0;4.0;0.0;14313;0;0;0;0;0;0;2757120;63450;3996299;7.23
411860 Paula Freitas;2.0;3.0;0.0;6765;0;52;24;0;0;0;4685940;140170;234031;7.23
412300 Salto do Lontra;1.0;2.0;0.0;28722;10825;28825;19385;22635;3113;10825;1101990;32530;3326648;7.23
412635 Serranópolis do Iguaçu;0.0;1.0;0.0;9782;0;18;10;0;0;0;5055320;164560;4208882;7.23
410720 Dois Vizinhos;5.0;18.0;2.0;195127;0;43228;37951;0;0;0;4198530;89880;6867724;7.24
410865 Goioxim;0.0;2.0;0.0;23296;0;0;0;0;0;0;5637420;334970;2844948;7.24
411020 Inácio Martins;2.0;4.0;0.0;257;0;0;0;0;0;0;1226220;44720;11571065;7.24
410105 Anahy;2.0;2.0;1.0;340;0;32;4;0;0;0;2360750;198230;3711548;7.25
410370 Cambé;9.0;22.0;3.0;629289;0;521;364;0;0;0;1633880;79670;2199893;7.25
411342 Lidianópolis;1.0;1.0;0.0;0;0;94;77;0;0;0;7224960;233930;2504828;7.25
411545 Marquinho;1.0;1.0;0.0;145;0;16;41;0;0;0;6397460;182660;5147822;7.25
412545 São José das Palmeiras;0.0;0.0;0.0;535;0;0;0;0;0;0;953810;21650;2336359;7.25
412590 São Pedro do Paraná;0.0;2.0;0.0;0;0;0;0;0;0;0;2186230;57780;2427548;7.25
412630 Sengés;3.0;2.0;1.0;16481;0;34;0;0;0;0;4444920;51490;533741;7.25
410970 Ibaiti;3.0;6.0;0.0;4408;0;87;0;0;0;0;2977420;556880;4523295;7.26
411060 Iporã;1.0;3.0;0.0;10632;0;120;70;0;0;0;9995170;614390;3027924;7.26
411610 Moreira Sales;0.0;3.0;0.0;72763;0;0;0;0;0;0;1370180;40340;2414809;7.26
411885 Perobal;0.0;4.0;0.0;383;0;80;0;0;0;0;2052790;62320;2597388;7.26
410230 Balsa Nova;1.0;5.0;0.0;619;0;56;48;0;0;0;4451920;310610;2485903;7.27
412460 São Carlos do Ivaí;1.0;1.0;0.0;4682;0;0;0;0;0;0;3880590;101220;7175927;7.27
410185 Ariranha do Ivaí;1.0;3.0;0.0;0;0;13;8;0;0;0;4403470;147920;2593866;7.28
410460 Capitão Leônidas Marques;3.0;6.0;0.0;107;0;190;113;0;0;0;64968;242250;5677432;7.28
412700 Teixeira Soares;2.0;2.0;0.0;8066;0;0;0;0;0;0;32085;173040;2860725;7.28
410190 Assaí;2.0;4.0;1.0;33565;0;0;0;0;0;0;9807270;333060;3680041;7.29
412190 Ribeirão do Pinhal;1.0;2.0;0.0;639;0;2;0;0;0;0;1778360;31620;216679;7.29
410850 General Carneiro;2.0;3.0;0.0;6671;0;49;6;0;0;0;5641630;287340;3117674;7.31
410920 Guaraci;1.0;2.0;0.0;1619;0;0;0;0;0;0;3168087;1837550;3391376;7.31
411100 Itambaracá;0.0;1.0;0.0;375;0;45;23;0;0;0;2540140;122200;5201654;7.31
411720 Nova Olímpia;1.0;3.0;0.0;4564;1536;2446;1924;2604;1296;1536;2046650;83110;4003557;7.31
412665 Sulina;2.0;3.0;0.0;12033;0;0;0;0;0;0;1933460;51960;2463039;7.31
410520 Cerro Azul;1.0;1.0;0.0;900;0;68;72;0;0;0;1179449;118720;547481;7.32
410790 Floresta;0.0;2.0;0.0;21296;0;47;16;0;0;0;830460;27090;2259537;7.32
410570 Clevelândia;2.0;4.0;1.0;7584;0;101;69;0;0;0;1977930;2492770;2168244;7.33
411650 Nova Aliança do Ivaí;0.0;0.0;0.0;751;0;0;0;0;0;0;4740110;101310;5875555;7.33
412140 Realeza;3.0;7.0;0.0;14351;0;115;186;0;0;0;4252730;67720;3748558;7.33
410360 Cambará;3.0;7.0;0.0;450;0;14;4;0;0;0;4953750;1081260;3631128;7.34
412690 Tapira;1.0;2.0;0.0;1087;0;34;39;0;0;0;138286;805880;4391878;7.34
411460 Marechal Cândido Rondon;6.0;17.0;3.0;142151;21090;36;35;0;17780;21090;4755640;361030;4211689;7.35
412010 Porto Amazonas;1.0;2.0;0.0;0;0;0;0;0;0;0;2176760;25540;2729122;7.35
410210 Astorga;4.0;8.0;0.0;3792;0;442;192;0;0;0;1376630;38710;3500812;7.36
410785 Flor da Serra do Sul;1.0;1.0;1.0;5600;6998;26;17;0;0;6998;1582260;69260;3094599;7.36
410620 Contenda;2.0;7.0;1.0;10813;0;222;0;0;0;0;5291370;171620;3581338;7.38
411080 Iretama;3.0;3.0;0.0;21036;0;133;115;0;0;0;3308460;115880;3281256;7.38
411980 Planalto;1.0;4.0;0.0;23336;0;0;0;0;0;0;20041;285290;9104466;7.38
411990 Ponta Grossa;99.0;148.0;15.0;131917;0;7456;2355;33;79;0;2916630;125870;4263927;7.38
412402 Santa Tereza do Oeste;1.0;5.0;0.0;76235;0;0;0;0;0;0;2593930;239270;2253387;7.38
412220 Rio Branco do Sul;1.0;6.0;0.0;975;0;311;240;0;0;0;4590240;681650;4041066;7.39
412430 Santo Antônio do Paraíso;1.0;1.0;0.0;0;0;0;0;0;0;0;2801330;54220;5376237;7.39
412795 Tupãssi;1.0;1.0;0.0;625;0;0;0;0;0;0;6525810;208090;4483533;7.39
410320 Bom Sucesso;2.0;3.0;1.0;38544;0;0;0;0;0;0;1959310;32440;6268547;7.42
412065 Quarto Centenário;0.0;1.0;0.0;20034;0;27;10;0;0;0;1804710;242530;6679552;7.42
411160 Ivatuba;0.0;2.0;0.0;14886;0;0;0;0;0;0;6025280;392680;3444235;7.43
411180 Jacarezinho;6.0;34.0;2.0;247315;0;148;0;0;0;0;1453066;351920;4268452;7.43
411550 Marumbi;1.0;2.0;0.0;10302;0;0;0;0;0;0;1178990;357050;2228464;7.43
412510 São João do Triunfo;3.0;1.0;0.0;5311;0;0;0;0;0;0;3150880;55350;499742;7.43
410270 Barra do Jacaré;1.0;1.0;0.0;0;0;24;0;0;0;0;1157240;27810;3301566;7.44
411345 Lindoeste;3.0;3.0;0.0;4727;0;0;0;0;0;0;2409040;48500;3882656;7.44
412330 Santa Cruz de Monte Castelo;2.0;0.0;0.0;718;0;0;2;0;0;0;7547010;270360;3565274;7.44
410410 Campo do Tenente;2.0;3.0;0.0;1041;0;34;31;0;0;0;1243551;1356780;3330469;7.45
410773 Fernandes Pinheiro;1.0;2.0;0.0;0;0;0;0;0;0;0;1911330;48830;3560891;7.45
410725 Douradina;1.0;6.0;0.0;31512;1264;2264;374;1828;2332;1264;1182790;59870;2588651;7.46
411095 Itaipulândia;1.0;5.0;0.0;75674;0;139;148;0;0;0;2438220;61100;3105655;7.46
411780 Palmital;2.0;3.0;0.0;2295;0;0;0;0;0;0;2045640;142110;2417933;7.46
410200 Assis Chateaubriand;5.0;14.0;1.0;42155;0;128;119;0;0;0;4347920;263040;2914111;7.47
411190 Jaguapitã;2.0;4.0;0.0;0;0;0;0;0;0;0;1876;212810;3209476;7.47
411830 Paranapoema;0.0;0.0;0.0;0;0;0;0;0;0;0;1356;57550;298321;7.47
410130 Antônio Olinto;2.0;2.0;0.0;16678;0;33;39;0;0;0;5583890;1374380;2331561;7.48
410140 Apucarana;23.0;97.0;7.0;22773;0;0;0;0;0;0;3822150;1265450;3544069;7.48
410340 Cafeara;1.0;2.0;0.0;390;0;2;0;0;0;0;2717240;187830;7766171;7.48
411585 Mercedes;1.0;3.0;0.0;301;0;0;0;0;0;0;902940;17860;2136953;7.48
410810 Flórida;3.0;8.0;0.0;617087;0;0;0;0;0;0;6180570;2579710;5670271;7.51
411400 Mamborê;3.0;5.0;0.0;105140;20302;11192;25006;23856;13584;20302;3358140;346280;4566287;7.51
411900 Pérola d'Oeste;0.0;3.0;0.0;21984;0;0;0;0;0;0;608690;1347880;4477358;7.51
410730 Doutor Camargo;2.0;4.0;0.0;0;0;0;0;0;0;0;1922030;59060;3686293;7.52
412030 Porto Vitória;2.0;1.0;0.0;4899;0;14;28;0;0;0;22614;50350;3685819;7.52
410540 Chopinzinho;4.0;13.0;1.0;20359;41121;21488;38070;44132;33522;41121;8116660;849800;3266263;7.55
410425 Campo Magro;1.0;5.0;4.0;52948;0;0;0;0;0;0;7496370;961020;4153616;7.57
410980 Ibiporã;8.0;16.0;3.0;36207;0;0;35;0;0;0;1649830;44750;3396038;7.58
411520 Maringá;83.0;303.0;39.0;1062368;0;2075;293;0;0;0;2837930;55620;6261328;7.58
411700 Nova Fátima;1.0;1.0;0.0;1763;0;0;0;0;0;0;2693890;131880;2402621;7.58
412540 São José da Boa Vista;2.0;3.0;0.0;29681;0;92;7;0;0;0;9464350;3346200;7592683;7.58
410630 Corbélia;2.0;2.0;0.0;57084;0;141;40;0;0;0;6351;478400;3233082;7.59
410750 Engenheiro Beltrão;2.0;4.0;1.0;77282;0;53;33;401;0;0;1209670;46510;5089483;7.61
412796 Turvo;2.0;3.0;0.0;29147;0;175;28;0;0;0;1234537;1134160;3065936;7.61
412627 Saudade do Iguaçu;1.0;2.0;0.0;3886;0;24;20;0;0;0;4823940;44600;4309107;7.62
411573 Mato Rico;0.0;3.0;0.0;0;0;62;28;0;0;0;3287320;469400;4211601;7.63
411820 Paranaguá;22.0;33.0;1.0;192302;0;0;0;0;0;0;1202266;894540;3015282;7.63
411970 Planaltina do Paraná;1.0;2.0;0.0;115;0;2;13;0;0;0;2054732;3588380;4325334;7.63
411150 Ivaiporã;9.0;25.0;0.0;3998;0;273;169;0;0;0;966610;32990;3452135;7.66
410712 Diamante do Sul;1.0;1.0;0.0;5126;0;0;0;0;0;0;4186480;414240;3944927;7.67
411770 Palmeira;6.0;8.0;0.0;8556;0;0;0;0;0;0;6512380;323890;6964503;7.68
412750 Tibagi;2.0;3.0;0.0;19021;0;0;0;0;0;0;1196756;1446010;4444808;7.68
410830 Foz do Iguaçu;36.0;124.0;14.0;5172;0;0;0;0;0;0;7351110;933080;3546016;7.74
411440 Mangueirinha;5.0;5.0;0.0;43618;0;135;51;0;0;0;7470410;540310;447328;7.74
411350 Loanda;3.0;5.0;1.0;674;0;166;0;0;0;0;1652569;5808700;3538329;7.78
410470 Carlópolis;2.0;5.0;0.0;0;0;0;0;0;0;0;2101074;3360730;3773302;7.82
411840 Paranavaí;15.0;39.0;5.0;11877;0;439;162;0;0;0;5390870;847790;468425;7.82
412070 Quatiguá;0.0;2.0;0.0;0;0;31;0;0;0;0;1143930;40430;4428378;7.91
411500 Marilena;2.0;2.0;0.0;4032;0;0;0;0;0;0;4870120;4364720;4444252;8.08
410685 Cruzmaltina;1.0;2.0;0.0;0;0;45;58;0;0;0;4348920;19637260;4545829;8.23
