CODUFMUN;REC;TENT_y
410040;26;56
410050;2;2
410100;0;3
410105;12;42
410115;3;7
410120;9;27
410130;1;3
410150;732;1260
410160;259;462
410180;3396;7680
410190;0;1
410200;12;32
410210;18;58
410230;30;55
410250;0;4
410260;3;10
410290;4;9
410300;3;5
410320;4;6
410322;10;28
410335;2;3
410345;64;112
410360;6;11
410370;1968;3744
410380;2;9
410390;1;4
410400;462;864
410420;45;105
410425;4;15
410450;0;12
410460;15;80
410465;3;3
410480;14232;25872
410490;1416;3600
410530;21;48
410540;1116;2328
410550;2184;4584
410570;12;51
410580;112;512
410590;56;178
410630;60;140
410640;4;6
410645;40;92
410650;126;1008
410690;45636;90540
410710;0;15
410720;7;18
410725;4;4
410730;2;8
410765;600;1362
410830;368;896
410840;6;25
410865;3;18
410880;4;10
410940;1212;7236
410960;8;8
410965;10;17
410975;0;4
410980;407;1089
410990;3;5
411010;60;450
411040;2;7
411050;22;44
411070;12;28
411080;8;14
411095;2;3
411110;3;4
411120;891;1551
411140;264;726
411150;78;234
411200;605;1551
411210;32;48
411240;0;4
411295;2;4
411300;3;27
411310;1;1
411330;2;7
411370;156;261
411373;0;8
411375;2;2
411390;18;144
411410;7;12
411420;80;272
411440;56;259
411460;68;152
411480;990;2145
411490;1;3
411510;0;1
411520;13884;29904
411530;4;8
411560;36;99
411570;264;2388
411580;864;1800
411605;209;594
411640;2;4
411660;2;12
411670;55;225
411690;80;144
411705;21;126
411725;2;2
411727;2;10
411729;0;1
411730;12;20
411745;4;8
411760;125;330
411770;576;1212
411790;33;111
411810;1;4
411820;20;230
411840;4;8
411850;2304;5652
411870;2;7
411880;4;10
411910;1;3
411915;204;456
411925;1;3
411930;20;80
411940;7;11
411950;5;11
411960;3;18
411990;6912;16044
411995;18;24
412000;0;1
412010;1;1
412015;1;2
412020;1;1
412033;1;3
412035;1;2
412040;1;4
412060;15;90
412080;6;9
412090;102;306
412110;0;1
412150;33;51
412160;6;45
412170;1;2
412190;1;3
412200;36;152
412300;0;14
412340;5;12
412350;28;48
412360;0;4
412370;2;2
412380;4;12
412382;30;60
412402;60;170
412405;48;102
412450;1;3
412480;286;803
412500;16;36
412510;28;80
412550;3960;9072
412560;168;344
412570;781;1562
412580;4;7
412620;4;10
412625;2604;6288
412627;16;68
412630;80;165
412650;126;217
412665;2;12
412667;12;120
412710;1524;2856
412720;165;638
412740;98;154
412750;15;30
412760;1;4
412770;2436;5340
412780;3;15
412785;21;54
412800;12;33
412810;1;4
412840;4;4
412855;7;13
